year,region,population,gdp_usd,country,population_urbaine,taux_croissance_pop,inflation,taux_chomage,exportations,esperance_vie,alphabetisation,scolarisation_primaire,nb_participants_olympiques,pop_growth_pct,gdp_growth_pct,school_to_literacy_ratio,health_index,gdp_per_capita
2012,Zou,1769242,1895788514.2479267,Benin,4587966,2.96766540040992,109.6313139516,2.406,2662421032.36803,58.559,32.9488182067871,123.163383483887,0,3.1250965390495766,4.304123095245216,3.7380212762385714,58.559,1071.5258366282999
2013,Zou,1823655,2131719555.0405672,Benin,4780638,2.94885160135819,110.101510475881,2.099,3451240666.46384,58.863,,124.061050415039,0,3.075497868578747,12.445008450018813,,58.863,1168.926992792259
2014,Zou,1873433,2256361181.5386996,Benin,4981812,2.9550187594558,109.497320123437,1.872,4175438841.58641,59.008,,124.522239685059,0,2.729573301967747,5.846999254822727,,59.008,1204.3991867009386
2015,Zou,1932343,1937017084.1861393,Benin,5191263,2.95391627666724,109.736884846516,1.82,2815204783.04203,59.123,,127.121139526367,0,3.144494625641814,-14.153057585168494,,59.123,1002.4188687961399
2016,Zou,1990143,2011106959.7837615,Benin,5407795,2.92460216679542,108.86633100536,1.784,3263416597.90044,59.283,,125.554527282715,0,2.991187382364302,3.82494693529003,,59.283,1010.533896199299
2017,Zou,2048359,2160965652.9033175,Benin,5630764,2.88117869411855,108.913431866169,1.659,3455561017.58914,59.528,38.871208190918,121.606216430664,0,2.925216931647623,7.451552608403733,3.128439327982517,59.528,1054.9740806681434
2018,Zou,2105284,2424741837.0164366,Benin,5858809,2.8136418840483,109.914532239727,1.41,3889962074.25631,59.71,,117.116798400879,0,2.7790538670223297,12.206403362252827,,59.71,1151.740970347201
2019,Zou,2164123,2447236499.779627,Benin,6091152,2.73538842831436,110.720040198149,1.214,4264332526.72108,59.888,,112.029891967773,0,2.794824831234166,0.9277137227470478,,59.888,1130.8213533979476
2020,Zou,2220123,2664578895.105673,Benin,6327922,2.66259875153288,114.066798322144,1.502,3117343143.85166,60.154,,109.148918151855,0,2.587653289577352,8.881135735987012,,60.154,1200.1942663112236
2021,Zou,2278093,3004010936.2855873,Benin,6568819,2.59230167510348,116.04419147224,1.779,3700039684.26428,59.61,43.834171295166,110.70588684082,0,2.6111165912879652,12.738674835389062,2.525561304566708,59.61,1318.6515810748672
2022,Zou,2338312,2961301707.9977612,Benin,6815631,2.54740926342667,117.611691618775,1.685,3627155580.31394,60.475,47.0999984741211,113.04891204834,0,2.643395155509465,-1.4217401066001223,2.400189293221618,60.475,1266.4271098115912
2023,Zou,2398890,3344479294.5033255,Benin,7069628,2.52274772277722,120.832723939286,1.657,3935350520.19623,60.774,,,0,2.590672245619907,12.939498379063984,,60.774,1394.1778466304522
